채널,코스·페이지,식당 안내,체험 연결,야간 안내,숙박 연결,비고,출처 URL,조사일
안동시 공식 관광 사이트,추천여행길 · 안동시내 코스,없음,없음,없음,없음,8곳 관광지 나열(유교랜드→…→고성이씨 탑동파 종택),https://www.tourandong.com/public/sub1/sub1_5.cshtml,2026-09-13
안동시 공식 관광 사이트,추천여행길 · 하회마을 코스,없음,있음(안동한지 체험관),없음,없음,관광지·체험 8곳 나열,https://www.tourandong.com/public/sub1/sub1.cshtml,2026-09-13
안동시 공식 관광 사이트,테마 코스 · 안동시내(먹방) 코스,있음(찜닭골목·갈비골목 등),없음,없음,없음,식당과 관광지를 걸어서 도는 당일 코스,https://www.tourandong.com/public/sub1/sub3.cshtml,2026-09-13
안동시 공식 관광 사이트,테마 코스 · 월영교(낭만) 코스,없음,없음,명시 없음,없음,"임청각→월영교→…→낙강물길공원, 거리만 표기(7.6km)",https://www.tourandong.com/public/sub1/sub3_2.cshtml,2026-09-13
안동시 공식 관광 사이트,테마 코스 · 야경투어 코스,없음,없음,있음(영호루·음악분수·월영교 등),없음,이동 수단 안내 없음(거리만 표기),https://www.tourandong.com/public/sub1/sub3_5.cshtml,2026-09-13
안동시 공식 관광 사이트,안동 맛보기 · 맛집 투어,있음(찜닭골목 30여 곳 등),없음,없음,없음,식사 후 다음 행선지 안내 없음,https://www.tourandong.com/public/sub3/sub1_3.cshtml,2026-09-13
안동시 공식 관광 사이트,스탬프 투어(걷기 7곳·모바일 26곳),찜닭골목 1곳 포함,없음,월영교 포함(야간 안내 없음),없음,"관광지 중심, 완주 시 기념품",https://www.tourandong.com/public/sub1/sub7.cshtml,2026-09-13
안동시 공식 관광 사이트,안동 쉬어가기 · 전통가옥,없음,없음,없음,숙박 150곳 이상 목록,"주변 식당·체험·야간 연결 없음, 통합 예약 없음",https://www.tourandong.com/public/sub3/sub2.cshtml,2026-09-13
민간 여행사(GBTOUR),먹탐여행 1박2일 안동여행(버스투어),있음(4식),있음(하회별신굿탈놀이 관람 등),없음,있음(원도심 호텔·모텔),"유료 155,000원·5인 이상 출발. 식사→관광→숙박을 잇는 드문 사례",http://www.gbtour.kr/coding/sub2/sub4.asp,2026-09-13
안동시 공식 관광 사이트,기간별 코스 · 1박2일 도산하회코스,없음,없음,없음,없음,"1일차 태사묘→…→도산서원, 2일차 하회마을→…→겸암정사",https://www.tourandong.com/public/sub1/sub2_2.cshtml,2026-09-14
안동시 공식 관광 사이트,기간별 코스 · 1박2일 하회봉정사코스,없음,있음(한지 체험),없음,없음,1박 코스인데 숙박 안내 없음,https://www.tourandong.com/public/sub1/sub2_2.cshtml,2026-09-14
안동시 공식 관광 사이트,기간별 코스 · 2박3일 안동대표코스,없음,있음(한지공장 체험관),없음,없음,2박 코스인데 숙박·야간 안내 없음,https://www.tourandong.com/public/sub1/sub2_3.cshtml,2026-09-14
한국관광공사 대한민국 구석구석,야간관광 기사 · 안동 월영교와 낙동강음악분수,있음(4곳),있음(황포돛배·유람선·문보트),있음(분수 주말 12:30·18:30·20:30),있음(품질인증 4곳 + 게스트하우스 1곳),교통편 안내도 있음. 2025.1 갱신. 공공 채널 중 유일하게 네 가지를 잇는 사례,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4889f25a-651e-44e4-95c4-8f7ae2c9d2ef,2026-09-14
안동시 공식 SNS,인스타그램·블로그,미확인,미확인,미확인,미확인,직접 확인 필요,,2026-09-13
관광안내소,안동역·하회마을 안내소 안내물,미확인,미확인,미확인,미확인,현장 방문 시 확인,,2026-09-13
